Consumibles,Proveedor,Precio en USD,Tipo de cambio,Precio en Pesos,Cantidad,Catalogo,Pre-pcr,Post-pcr,Checklist,Total-c
"Tubos para microcentrífuga de 1,5 ml (low bind)",Biosystem,,,"4,906.55",1,,,,,4906.55
Tiras de 8 tubos de 200 ul y tapas libres de RNAse/DNAse,,,,,,,,,,0
Tips con filtro de 10 µl,Biosystem,,,"3,487.83",4,,,,,13951.32
Pipetas multicanal de 10 µl,,,,,,,,,,0
Pipetas monocanal de 10 µl,,,,,,,,,,0
Tips con filtro de 20 µl,Biosystem,,,"2,819.30",3,,,,,8457.9
Pipetas multicanal de 20 µl,,,,,,,,,,
Pipetas monocanal de 20 µl,,,,,,,,,,
Tubo 8-strip 0.2ml C125 strip,Biosystem,,,"35,090.00",1,,,,,
Tips con filtro de 200 µl,,,,,,,,,,
Pipetas multicanal de 200 µl,,,,,,,,,,
Pipetas monocanal de 200 µl,,,,,,,,,,
Tips con filtro de 1000 µl,,,,,,,,,,
Pipetas multicanal de 1000 µl,,,,,,,,,,
Pipetas monocanal de 1000 µl,,,,,,,,,,
Tubos Falcon de 50 ml,,,,,,,,,,
Standard S2 (RAF),,,,,,,,,,
High Sensitivity NGS Fragment Analysis Kit (RFA),,,,,,,,,,
DNA 1000 Kit (RFA),,,,,,,,,,
High Sensitivity DNA Kit (RFA),,,,,,,,,,
Etanol absoluto grado biología molecular (500 ml),,,,,,,,,,
Agua grado biología molecular,,,,,,,,,,
"Tris-ClH 10 mM, pH8.5",,,,,,,,,,
Tween 20,,,,,,,,,,
"Tris-Cl 10 mM, pH 8, con 0,1% Tween 20 o RSB",,,,,,,,,,
"1N, 2N o 10N NaOH grado Biología molecular",,,,,,,,,,
Guantes descartables sin polvo,,,,,,,,,,
Tissue de laboratorios,,,,,,,,,,