Equipos,Proveedor,Precio en USD,Tipo de cambio,Precio en Pesos,Cantidad,Catalogo,Pre-pcr,Post-pcr,Checklist,Mantenimiento,Total
MPS-1 High-Speed Shakerw/platforms,Biosystem,2765.83,,,,,,,,,0
Hybex System For Illumina,Biosystem,6701.45,,,,,,,,,
Hybex 1.5 ml tube block.,Biosystem,983.96,,,,,,,,,
Qsep100 DNA Analyzer.,Biosystem,44239.53,,,,,,,,,
Purge Station for 1 channel,Biosystem,1559.1,,,,,,,,,
qTOWER G TOUCH 5 - PC,Biosystem,52459.26,,,,,,,,,
Qubit,Thermofisher,,,,,,,,,,
Vortex,General,,,,,,,,,,
Termociclador de 96-well (con tapa térmica),General,,,,,,,,,,
Magnetic stand-96/DynaMag-96 Side,Thermofisher,,,,,,,,,,
Magnetic separation rack (tubos de 1.7ml),Thermofisher,,,,,,,,,,
Microcentrífuga  (strips de 8 tubos),General,,,,,,,,,,
Centrífuga (placas de 96 wells),General,,,,,,,,,,
Termobloque Seco (tubos de 1.5 ml),General,,,,,,,,,,
Concentrador de Vacio Tipo Speed Back,General,,,,,,,,,,